Corresponding USGS gauge number,09072500,09095500,09109000,09124700,09127800,09152500,09180000,09180500,09211200,09217000,09234500,09251000,09260000,09302000,09306500,09315000,09328500,09355500,09379500,09380000,,09382000,09402000,09402500,09415000,09421500,09423000,09426000,09427520,09429490,,,,,,,,,,
USGS gauge name,"Colorado River At Glenwood Springs, CO","Colorado River Near Cameo, CO","Taylor River Below Taylor Park Reservoir, CO","Gunnision River Above Blue Mesa Reservoir,CO","Gunnison River At Crystal Reservoir,CO","Gunnison River Near Grand Junction, CO","Dolores River Near Cisco, UT",Colorado River Near Cisco UT,Green R Bel Fontenelle Res WY,"Green R. Nr Green River, WyY","Green River Near Greendale, UT","Yampa River Near Maybell, CO\","Little Snake River Near Lily, CO","Duchesne River Near Randlett, UT","White River Near Watson, UT","Green River At Green River, UT","San Rafael River Near Green River, UT","San Juan River Near Archuleta,NM","San Juan River Near Bluff, UT","Colorado R At Lees Ferry, AZ",,"Paria R At Lees Ferry, AZ","Little Colorado River Near Cameron, AZ","Colorado River Near Grand Canyon, AZ","Virgin River At Littlefield, AZ","Colorado River Below Hoover Dam, AZ-NV","Colorado River Below Davis Dam, AZ-NV","Bill Williams River Below Alamo Dam, AZ","Colorado River Below Parker Dam, AZ-CA","Colorado River Above Imperial Dam, AZ",,,,,,,,,,
,(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),,(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),,,,,,,,,,
Date,UpperColoradoReach.Inflow,ColoRAbv09095500:GainsAbvCameo.Local Inflow,TaylorRiver.Inflow,TaylorAboveBlueMesa:GainsAboveBlueMesa.Local Inflow,GunnisonRiverAboveCrystal:GainsAboveCrystal.Local Inflow,GunnisonRiverAboveGrandJunction:GainsGunnisonRiverAbvGrandJunction.Local Inflow,DoloresRiver.Inflow,GrandValleyReach:GainsAboveCisco.Local Inflow,GreenRAboveGage09211200.Inflow,Gage09211200ToGage09217000:GainsAbv09217000.Local Inflow,Gage09217000ToGage09234500:GainsAbv09234500.Local Inflow,YampaRAbv09251000.Inflow,LittleSnakeRAbv09260000.Inflow,DuchesneAbv09302000.Inflow,WhiteRiverAbv09306500.Inflow,GreenRAbvGage09315000:GainsAbvGreenRUtah.Local Inflow,SanRafaelRiver.Inflow,SJAboveNavajo.Inflow,SJBelowNavajo:GainsAboveBluff.Local Inflow,ColoradoRAbvPowell:GainsAboveLeesFerry.Local Inflow,,CoRivPowellToVirgin:PariaGains.LocalInflow,CoRivPowellToVirgin:LittleCoR.LocalInflow,CoRivPowellToVirgin:GainsAboveGC.LocalInflow,VirginRiver.Inflow,CoRivVirginToMead:GainsAboveHoover.LocalInflow,CoRivMeadToMohave:GainsAboveDavis.LocalInflow,CoRivMohaveToHavasu:BillWilliamsRiver.LocalInflow,CoRivMohaveToHavasu:GainsAboveParker.LocalInflow,AboveImperialDamColoradoR:GainsOnColoRAboveImperialDam.LocalInflow,,,,,,,,,,
10/05,"66,982","45,086","6,375","21,625","3,900","42,472","23,495","-4,175","28,000","2,010","-3,011","19,218","8,865","46,532","27,243","23,909","4,979","47,313","51,626","-3,916",,"4,398","8,058","1,529","5,279","28,837","-11,318",133,"42,821","-59,419",,,,,,,,,,
11/05,"60,131","42,706","4,097","20,903","4,200","30,014","6,836","15,103","24,000","1,441","-14,941","19,388","6,294","30,021","29,341","26,639","5,136","33,552","33,333","23,450",,"2,746",812,"5,831","6,857","34,679","6,792",265,726,"-21,108",,,,,,,,,,
12/05,"37,105","29,707","3,981","23,019","2,200","10,557","2,001","4,950","18,000","1,513","-5,137","12,566","3,264","25,211","22,084","3,545",681,"25,801","14,421","-8,598",,"1,445",23,"4,070","10,396","2,030","7,730",528,"3,327","-4,798",,,,,,,,,,
1/06,"37,525","31,693","3,770","22,230","2,600","5,317","2,929","1,786","18,000","2,435","5,396","11,213","3,905","29,285","17,735","-1,886","2,187","24,238","23,136",820,,"2,717",72,"3,150","11,961","34,792","-41,977",398,"-12,154","-59,403",,,,,,,,,,
2/06,"38,047","21,806","3,898","18,102","3,500","16,175","4,306","3,506","17,000","-1,202","17,172","13,950","8,672","21,687","16,968","-4,474","3,066","23,185","42,586","24,584",,"2,848","7,259","1,967","15,361","69,835","-43,645","5,304","14,311","20,591",,,,,,,,,,
3/06,"64,812","37,824","4,327","34,673","7,100","19,339","13,712","4,453","29,000","12,659","35,318","78,151","37,674","54,433","55,176","73,060","8,013","32,935","99,182","-23,667",,"3,349","147,600","2,370","14,885","61,025","27,023","7,656","-13,405","24,811",,,,,,,,,,
4/06,"166,869","89,464","7,688","99,312","28,000","33,978","76,052","-19,033","104,000","28,958","89,620","200,724","49,721","57,166","53,490","-13,069","10,216","166,627","111,805","-136,948",,"1,670","59,273","-2,426","12,841","58,459","25,909","2,809","4,470","40,081",,,,,,,,,,
5/06,"603,358","325,303","36,123","297,887","73,000","242,627","178,047","-7,890","316,000","8,591","155,904","550,294","162,605","205,534","122,383","26,864","49,937","464,408","27,358","-203,232",,"1,004",174,"-12,359","14,616","-63,294","6,305",101,"-22,114","-27,981",,,,,,,,,,
6/06,"809,692","499,300","56,665","397,763","80,000","277,548","169,388","91,435","395,400","21,416","198,047","454,467","157,492","304,580","167,681","108,712","105,769","431,139","148,359","139,314",,744,19,757,"5,827","23,913","-47,224",100,"-16,156","-98,368",,,,,,,,,,
7/06,"417,092","325,963","35,836","177,746","21,000","184,192","73,336","53,031","313,900","28,477","82,075","179,997","64,669","139,196","99,269","83,435","39,943","131,339","165,119","334,845",,"1,441",25,541,"5,432","50,667","-9,399",125,"6,089","-64,222",,,,,,,,,,
8/06,"193,160","148,095","13,887","86,083","6,400","101,456","47,813","13,960","148,200","15,014","57,120","55,512","34,265","62,315","60,456","45,430","21,031","59,225","200,388","235,276",,"3,097","1,266","-1,415","6,792","27,573","-7,421",925,"27,776","-64,686",,,,,,,,,,
